RIC,Date,Name
SOLB.BR,2019-12-31,SOLVAY ORD
ACKB.BR,2019-12-31,ACKERMANS V.HAAR ORD
ARGX.BR,2019-12-31,ARGEN X NV
PROX.BR,2019-12-31,PROXIMUS
INGA.AS,2019-12-31,ING GROEP ORD
ONTEX.BR,2019-12-31,ONTEX GRP NV
APAM.AS,2019-12-31,APERAM ORD
TNET.BR^J23,2019-12-31,TELENET GRP HLDG ORD
WDPP.BR,2019-12-31,WDP-SICAFI REIT
GBLB.BR,2019-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2019-12-31,AGEAS(EX-FORTIS) ORD
COFB.BR,2019-12-31,COFINIMMO
GLPG.AS,2019-12-31,GALAPAGOS ORD
UMI.BR,2019-12-31,UMICORE ORD
ABI.BR,2019-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD
COLR.BR,2019-12-31,ETABLISSEMENTS COLRUYT ORD
SOF.BR,2019-12-31,SOFINA ORD
KBC.BR,2019-12-31,KBC GROEP ORD
UCB.BR,2019-12-31,UCB ORD
BAR.BR,2019-12-31,BARCO ORD
SOLB.BR,2020-12-31,SOLVAY ORD
ACKB.BR,2020-12-31,ACKERMANS V.HAAR ORD
ARGX.BR,2020-12-31,ARGEN X NV
PROX.BR,2020-12-31,PROXIMUS
INGA.AS,2020-12-31,ING GROEP ORD
APAM.AS,2020-12-31,APERAM ORD
TNET.BR^J23,2020-12-31,TELENET GRP HLDG ORD
WDPP.BR,2020-12-31,WDP-SICAFI REIT
AOO.BR,2020-12-31,AEDIFICA SA
GBLB.BR,2020-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2020-12-31,AGEAS(EX-FORTIS) ORD
COFB.BR,2020-12-31,COFINIMMO
GLPG.AS,2020-12-31,GALAPAGOS ORD
UMI.BR,2020-12-31,UMICORE ORD
ABI.BR,2020-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD
COLR.BR,2020-12-31,ETABLISSEMENTS COLRUYT ORD
SOF.BR,2020-12-31,SOFINA ORD
KBC.BR,2020-12-31,KBC GROEP ORD
UCB.BR,2020-12-31,UCB ORD
BAR.BR,2020-12-31,BARCO ORD
SOLB.BR,2021-12-31,SOLVAY ORD
ACKB.BR,2021-12-31,ACKERMANS V.HAAR ORD
ARGX.BR,2021-12-31,ARGEN X NV
PROX.BR,2021-12-31,PROXIMUS
APAM.AS,2021-12-31,APERAM ORD
TNET.BR^J23,2021-12-31,TELENET GRP HLDG ORD
ELI.BR,2021-12-31,ELIA SYSTEM OPERATOR ORD
WDPP.BR,2021-12-31,WDP-SICAFI REIT
AOO.BR,2021-12-31,AEDIFICA SA
MLXS.BR,2021-12-31,MELEXIS ORD
GBLB.BR,2021-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2021-12-31,AGEAS(EX-FORTIS) ORD
COFB.BR,2021-12-31,COFINIMMO
GLPG.AS,2021-12-31,GALAPAGOS ORD
UMI.BR,2021-12-31,UMICORE ORD
ABI.BR,2021-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD
COLR.BR,2021-12-31,ETABLISSEMENTS COLRUYT ORD
SOF.BR,2021-12-31,SOFINA ORD
KBC.BR,2021-12-31,KBC GROEP ORD
UCB.BR,2021-12-31,UCB ORD
SOLB.BR,2022-12-31,SOLVAY ORD
ACKB.BR,2022-12-31,ACKERMANS V.HAAR ORD
ARGX.BR,2022-12-31,ARGEN X NV
PROX.BR,2022-12-31,PROXIMUS
APAM.AS,2022-12-31,APERAM ORD
ELI.BR,2022-12-31,ELIA SYSTEM OPERATOR ORD
WDPP.BR,2022-12-31,WDP-SICAFI REIT
AOO.BR,2022-12-31,AEDIFICA SA
GBLB.BR,2022-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2022-12-31,AGEAS(EX-FORTIS) ORD
IETB.BR,2022-12-31,D'IETEREN ORD
COFB.BR,2022-12-31,COFINIMMO
GLPG.AS,2022-12-31,GALAPAGOS ORD
UMI.BR,2022-12-31,UMICORE ORD
VGP1.BR,2022-12-31,VGP ORD
ABI.BR,2022-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD
COLR.BR,2022-12-31,ETABLISSEMENTS COLRUYT ORD
SOF.BR,2022-12-31,SOFINA ORD
KBC.BR,2022-12-31,KBC GROEP ORD
UCB.BR,2022-12-31,UCB ORD
SOLB.BR,2023-12-31,SOLVAY ORD
ACKB.BR,2023-12-31,ACKERMANS V.HAAR ORD
SYENS.BR,2023-12-31,SYENSQO ORD SHS
ARGX.BR,2023-12-31,ARGEN X NV
PROX.BR,2023-12-31,PROXIMUS
APAM.AS,2023-12-31,APERAM ORD
ELI.BR,2023-12-31,ELIA SYSTEM OPERATOR ORD
WDPP.BR,2023-12-31,WDP-SICAFI REIT
AOO.BR,2023-12-31,AEDIFICA SA
MLXS.BR,2023-12-31,MELEXIS ORD
GBLB.BR,2023-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2023-12-31,AGEAS(EX-FORTIS) ORD
IETB.BR,2023-12-31,D'IETEREN ORD
COFB.BR,2023-12-31,COFINIMMO
GLPG.AS,2023-12-31,GALAPAGOS ORD
UMI.BR,2023-12-31,UMICORE ORD
ABI.BR,2023-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD
SOF.BR,2023-12-31,SOFINA ORD
KBC.BR,2023-12-31,KBC GROEP ORD
UCB.BR,2023-12-31,UCB ORD
SOLB.BR,2024-12-31,SOLVAY ORD
ACKB.BR,2024-12-31,ACKERMANS V.HAAR ORD
SYENS.BR,2024-12-31,SYENSQO ORD SHS
ARGX.BR,2024-12-31,ARGEN X NV
ELI.BR,2024-12-31,ELIA SYSTEM OPERATOR ORD
WDPP.BR,2024-12-31,WDP-SICAFI REIT
AOO.BR,2024-12-31,AEDIFICA SA
MLXS.BR,2024-12-31,MELEXIS ORD
GBLB.BR,2024-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2024-12-31,AGEAS(EX-FORTIS) ORD
IETB.BR,2024-12-31,D'IETEREN ORD
COFB.BR,2024-12-31,COFINIMMO
GLPG.AS,2024-12-31,GALAPAGOS ORD
UMI.BR,2024-12-31,UMICORE ORD
AZE.BR,2024-12-31,AZELIS CORPORATE SERVICES NV ORD
LOTB.BR,2024-12-31,LOTUS BAKERIES ORD
ABI.BR,2024-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD
SOF.BR,2024-12-31,SOFINA ORD
KBC.BR,2024-12-31,KBC GROEP ORD
UCB.BR,2024-12-31,UCB ORD
GMAB.CO,2019-12-31,GENMAB ORD
MAERSKb.CO,2019-12-31,MOELLER MAERSK B ORD
SIM.CO^J23,2019-12-31,SIMCORP ORD
VWS.CO,2019-12-31,VESTAS WIND SYSTEMS ORD
NSISb.CO,2019-12-31,NOVOZYMES ORD
RBREW.CO,2019-12-31,ROYAL UNIBREW ORD
NOVOb.CO,2019-12-31,NOVO-NORDISK ORD
ORSTED.CO,2019-12-31,ORSTED ORD
DANSKE.CO,2019-12-31,DANSKE BANK ORD
CHRH.CO^A24,2019-12-31,CHRISTIAN HANSEN HOLDING ORD
GN.CO,2019-12-31,GN STORE NORD ORD
DEMANT.CO,2019-12-31,DEMANT ORD
AMBUb.CO,2019-12-31,AMBU ORD
ISS.CO,2019-12-31,ISS A/S
TRYG.CO,2019-12-31,TRYGVESTA ORD
LUN.CO^F22,2019-12-31,H.LUNDBECK ORD
DSV.CO,2019-12-31,DSV PANALPINA ORD
CARLb.CO,2019-12-31,CARLSBERG ORD
PNDORA.CO,2019-12-31,PANDORA ORD
COLOb.CO,2019-12-31,COLOPLAST ORD
GMAB.CO,2020-12-31,GENMAB ORD
MAERSKb.CO,2020-12-31,MOELLER MAERSK B ORD
SIM.CO^J23,2020-12-31,SIMCORP ORD
VWS.CO,2020-12-31,VESTAS WIND SYSTEMS ORD
NSISb.CO,2020-12-31,NOVOZYMES ORD
RBREW.CO,2020-12-31,ROYAL UNIBREW ORD
NOVOb.CO,2020-12-31,NOVO-NORDISK ORD
ORSTED.CO,2020-12-31,ORSTED ORD
DANSKE.CO,2020-12-31,DANSKE BANK ORD
CHRH.CO^A24,2020-12-31,CHRISTIAN HANSEN HOLDING ORD
GN.CO,2020-12-31,GN STORE NORD ORD
DEMANT.CO,2020-12-31,DEMANT ORD
AMBUb.CO,2020-12-31,AMBU ORD
ISS.CO,2020-12-31,ISS A/S
ROCKb.CO,2020-12-31,ROCKWOOL INTL SR A ORD
TRYG.CO,2020-12-31,TRYGVESTA ORD
DSV.CO,2020-12-31,DSV PANALPINA ORD
CARLb.CO,2020-12-31,CARLSBERG ORD
PNDORA.CO,2020-12-31,PANDORA ORD
COLOb.CO,2020-12-31,COLOPLAST ORD
MAERSKa.CO,2021-12-31,MOELLER MAERSK ORD
GMAB.CO,2021-12-31,GENMAB ORD
MAERSKb.CO,2021-12-31,MOELLER MAERSK B ORD
VWS.CO,2021-12-31,VESTAS WIND SYSTEMS ORD
NSISb.CO,2021-12-31,NOVOZYMES ORD
RBREW.CO,2021-12-31,ROYAL UNIBREW ORD
NOVOb.CO,2021-12-31,NOVO-NORDISK ORD
NETCG.CO,2021-12-31,NETCOMPANY A/S ORD
ORSTED.CO,2021-12-31,ORSTED ORD
DANSKE.CO,2021-12-31,DANSKE BANK ORD
CHRH.CO^A24,2021-12-31,CHRISTIAN HANSEN HOLDING ORD
GN.CO,2021-12-31,GN STORE NORD ORD
DEMANT.CO,2021-12-31,DEMANT ORD
AMBUb.CO,2021-12-31,AMBU ORD
ROCKb.CO,2021-12-31,ROCKWOOL INTL SR A ORD
TRYG.CO,2021-12-31,TRYGVESTA ORD
DSV.CO,2021-12-31,DSV AS ORD
CARLb.CO,2021-12-31,CARLSBERG ORD
PNDORA.CO,2021-12-31,PANDORA ORD
COLOb.CO,2021-12-31,COLOPLAST ORD
MAERSKa.CO,2022-12-31,MOELLER MAERSK ORD
GMAB.CO,2022-12-31,GENMAB ORD
MAERSKb.CO,2022-12-31,MOELLER MAERSK B ORD
BAVA.CO,2022-12-31,BAVARIAN NORDIC ORD
VWS.CO,2022-12-31,VESTAS WIND SYSTEMS ORD
NSISb.CO,2022-12-31,NOVOZYMES ORD
JYSK.CO,2022-12-31,JYSKE BANK ORD
RBREW.CO,2022-12-31,ROYAL UNIBREW ORD
NOVOb.CO,2022-12-31,NOVO-NORDISK ORD
ORSTED.CO,2022-12-31,ORSTED ORD
DANSKE.CO,2022-12-31,DANSKE BANK ORD
CHRH.CO^A24,2022-12-31,CHRISTIAN HANSEN HOLDING ORD
GN.CO,2022-12-31,GN STORE NORD ORD
DEMANT.CO,2022-12-31,DEMANT ORD
AMBUb.CO,2022-12-31,AMBU ORD
TRYG.CO,2022-12-31,TRYGVESTA ORD
DSV.CO,2022-12-31,DSV AS ORD
CARLb.CO,2022-12-31,CARLSBERG ORD
PNDORA.CO,2022-12-31,PANDORA ORD
COLOb.CO,2022-12-31,COLOPLAST ORD
MAERSKa.CO,2023-12-31,MOELLER MAERSK ORD
GMAB.CO,2023-12-31,GENMAB ORD
MAERSKb.CO,2023-12-31,MOELLER MAERSK B ORD
VWS.CO,2023-12-31,VESTAS WIND SYSTEMS ORD
NSISb.CO,2023-12-31,NOVOZYMES ORD
JYSK.CO,2023-12-31,JYSKE BANK ORD
NOVOb.CO,2023-12-31,NOVO-NORDISK ORD
ORSTED.CO,2023-12-31,ORSTED ORD
DANSKE.CO,2023-12-31,DANSKE BANK ORD
CHRH.CO^A24,2023-12-31,CHRISTIAN HANSEN HOLDING ORD
GN.CO,2023-12-31,GN STORE NORD ORD
DEMANT.CO,2023-12-31,DEMANT ORD
AMBUb.CO,2023-12-31,AMBU ORD
ISS.CO,2023-12-31,ISS A/S
ROCKb.CO,2023-12-31,ROCKWOOL AS ORD
TRYG.CO,2023-12-31,TRYGVESTA ORD
DSV.CO,2023-12-31,DSV AS ORD
CARLb.CO,2023-12-31,CARLSBERG ORD
PNDORA.CO,2023-12-31,PANDORA ORD
COLOb.CO,2023-12-31,COLOPLAST ORD
MAERSKa.CO,2024-12-31,MOELLER MAERSK A ORD
GMAB.CO,2024-12-31,GENMAB ORD
NKT.CO,2024-12-31,NKT ORD
MAERSKb.CO,2024-12-31,MOELLER MAERSK B ORD
VWS.CO,2024-12-31,VESTAS WIND SYSTEMS ORD
NSISb.CO,2024-12-31,NOVONESIS AS ORD
JYSK.CO,2024-12-31,JYSKE BANK ORD
NOVOb.CO,2024-12-31,NOVO-NORDISK ORD
ORSTED.CO,2024-12-31,ORSTED ORD
DANSKE.CO,2024-12-31,DANSKE BANK ORD
DEMANT.CO,2024-12-31,DEMANT ORD
ZELA.CO,2024-12-31,ZEALAND PHARMA ORD
AMBUb.CO,2024-12-31,AMBU ORD
ISS.CO,2024-12-31,ISS A/S
ROCKb.CO,2024-12-31,ROCKWOOL AS ORD
TRYG.CO,2024-12-31,TRYGVESTA ORD
DSV.CO,2024-12-31,DSV AS ORD
CARLb.CO,2024-12-31,CARLSBERG ORD
PNDORA.CO,2024-12-31,PANDORA ORD
COLOb.CO,2024-12-31,COLOPLAST ORD
OUT1V.HE,2019-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2019-12-31,NOKIAN TYRES PLC ORD
VALMT.HE,2019-12-31,VALMET CORP
METSB.HE,2019-12-31,M-REAL ORD
KNEBV.HE,2019-12-31,KONE ORD
HIAB.HE,2019-12-31,CARGOTEC ORD
TELIA1.HE,2019-12-31,TELIA CO AB ORD
KEMIRA.HE,2019-12-31,KEMIRA OYJ ORD
ORNBV.HE,2019-12-31,ORION ORD
NESTE.HE,2019-12-31,NESTE OYJ ORD
METSO.HE,2019-12-31,OUTOTEC OYJ ORD
STERV.HE,2019-12-31,STORA ENSO R ORD
SAMPO.HE,2019-12-31,SAMPO PLC ORD
NOKIA.HE,2019-12-31,NOKIA ORD
FORTUM.HE,2019-12-31,FORTUM ORD
WRT1V.HE,2019-12-31,WARTSILA ORD
NELES.HE^D22,2019-12-31,METSO ORD
NDAFI.HE,2019-12-31,NORDEA BANK ABP ORD
ELISA.HE,2019-12-31,ELISA ORD
UPM.HE,2019-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2019-12-31,TIETOENATOR ORD
KCRA.HE,2019-12-31,KONECRANES OYJ ORD
HUH1V.HE,2019-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2019-12-31,KESKO ORD
OUT1V.HE,2020-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2020-12-31,NOKIAN TYRES PLC ORD
VALMT.HE,2020-12-31,VALMET CORP
METSB.HE,2020-12-31,M-REAL ORD
KNEBV.HE,2020-12-31,KONE ORD
HIAB.HE,2020-12-31,CARGOTEC ORD
TELIA1.HE,2020-12-31,TELIA CO AB ORD
KEMIRA.HE,2020-12-31,KEMIRA OYJ ORD
KOJAMO.HE,2020-12-31,KOJAMO OYJ ORD
ORNBV.HE,2020-12-31,ORION ORD
NESTE.HE,2020-12-31,NESTE OYJ ORD
METSO.HE,2020-12-31,METSO OUTOTEC CORPORATION ORD
STERV.HE,2020-12-31,STORA ENSO R ORD
SAMPO.HE,2020-12-31,SAMPO PLC ORD
NOKIA.HE,2020-12-31,NOKIA ORD
FORTUM.HE,2020-12-31,FORTUM ORD
WRT1V.HE,2020-12-31,WARTSILA ORD
NELES.HE^D22,2020-12-31,NELES CORPORATION ORD
NDAFI.HE,2020-12-31,NORDEA BANK ABP ORD
ELISA.HE,2020-12-31,ELISA ORD
UPM.HE,2020-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2020-12-31,TIETOENATOR ORD
KCRA.HE,2020-12-31,KONECRANES OYJ ORD
HUH1V.HE,2020-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2020-12-31,KESKO ORD
OUT1V.HE,2021-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2021-12-31,NOKIAN TYRES PLC ORD
VALMT.HE,2021-12-31,VALMET CORP
METSB.HE,2021-12-31,M-REAL ORD
KNEBV.HE,2021-12-31,KONE ORD
HIAB.HE,2021-12-31,CARGOTEC ORD
TELIA1.HE,2021-12-31,TELIA CO AB ORD
KEMIRA.HE,2021-12-31,KEMIRA OYJ ORD
KOJAMO.HE,2021-12-31,KOJAMO OYJ ORD
ORNBV.HE,2021-12-31,ORION ORD
NESTE.HE,2021-12-31,NESTE OYJ ORD
METSO.HE,2021-12-31,METSO OUTOTEC CORPORATION ORD
QTCOM.HE,2021-12-31,QT GROUP ORD
STERV.HE,2021-12-31,STORA ENSO R ORD
SAMPO.HE,2021-12-31,SAMPO PLC ORD
NOKIA.HE,2021-12-31,NOKIA ORD
FORTUM.HE,2021-12-31,FORTUM ORD
WRT1V.HE,2021-12-31,WARTSILA ORD
NDAFI.HE,2021-12-31,NORDEA BANK ABP ORD
ELISA.HE,2021-12-31,ELISA ORD
UPM.HE,2021-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2021-12-31,TIETOENATOR ORD
KCRA.HE,2021-12-31,KONECRANES OYJ ORD
HUH1V.HE,2021-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2021-12-31,KESKO ORD
OUT1V.HE,2022-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2022-12-31,NOKIAN TYRES PLC ORD
TOKMAN.HE,2022-12-31,TOKMANNI GROUP CORPORATION ORD SHS
VALMT.HE,2022-12-31,VALMET CORP
KNEBV.HE,2022-12-31,KONE ORD
HIAB.HE,2022-12-31,CARGOTEC ORD
TELIA1.HE,2022-12-31,TELIA CO AB ORD
KOJAMO.HE,2022-12-31,KOJAMO OYJ ORD
ORNBV.HE,2022-12-31,ORION ORD
NESTE.HE,2022-12-31,NESTE OYJ ORD
METSO.HE,2022-12-31,METSO OUTOTEC CORPORATION ORD
QTCOM.HE,2022-12-31,QT GROUP ORD
STERV.HE,2022-12-31,STORA ENSO R ORD
SAMPO.HE,2022-12-31,SAMPO PLC ORD
NOKIA.HE,2022-12-31,NOKIA ORD
FORTUM.HE,2022-12-31,FORTUM ORD
WRT1V.HE,2022-12-31,WARTSILA ORD
NDAFI.HE,2022-12-31,NORDEA BANK ABP ORD
ELISA.HE,2022-12-31,ELISA ORD
UPM.HE,2022-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2022-12-31,TIETOENATOR ORD
SSABBH.HE,2022-12-31,SSAB ORD
KCRA.HE,2022-12-31,KONECRANES OYJ ORD
HUH1V.HE,2022-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2022-12-31,KESKO ORD
OUT1V.HE,2023-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2023-12-31,NOKIAN TYRES PLC ORD
VALMT.HE,2023-12-31,VALMET CORP
METSB.HE,2023-12-31,M-REAL ORD
KNEBV.HE,2023-12-31,KONE ORD
HIAB.HE,2023-12-31,CARGOTEC ORD
TELIA1.HE,2023-12-31,TELIA CO AB ORD
KOJAMO.HE,2023-12-31,KOJAMO OYJ ORD
ORNBV.HE,2023-12-31,ORION ORD
NESTE.HE,2023-12-31,NESTE OYJ ORD
METSO.HE,2023-12-31,METSO CORP ORD
QTCOM.HE,2023-12-31,QT GROUP ORD
STERV.HE,2023-12-31,STORA ENSO R ORD
SAMPO.HE,2023-12-31,SAMPO PLC ORD
NOKIA.HE,2023-12-31,NOKIA ORD
FORTUM.HE,2023-12-31,FORTUM ORD
WRT1V.HE,2023-12-31,WARTSILA ORD
NDAFI.HE,2023-12-31,NORDEA BANK ABP ORD
ELISA.HE,2023-12-31,ELISA ORD
UPM.HE,2023-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2023-12-31,TIETOENATOR ORD
SSABBH.HE,2023-12-31,SSAB ORD
KCRA.HE,2023-12-31,KONECRANES OYJ ORD
HUH1V.HE,2023-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2023-12-31,KESKO ORD
OUT1V.HE,2024-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2024-12-31,NOKIAN TYRES PLC ORD
VALMT.HE,2024-12-31,VALMET CORP
METSB.HE,2024-12-31,M-REAL ORD
MANTA.HE,2024-12-31,MANDATUM PLC ORD
KNEBV.HE,2024-12-31,KONE ORD
HIAB.HE,2024-12-31,CARGOTEC ORD
KEMIRA.HE,2024-12-31,KEMIRA OYJ ORD
KOJAMO.HE,2024-12-31,KOJAMO OYJ ORD
ORNBV.HE,2024-12-31,ORION ORD
NESTE.HE,2024-12-31,NESTE OYJ ORD
METSO.HE,2024-12-31,METSO CORP ORD
QTCOM.HE,2024-12-31,QT GROUP ORD
STERV.HE,2024-12-31,STORA ENSO R ORD
SAMPO.HE,2024-12-31,SAMPO PLC ORD
NOKIA.HE,2024-12-31,NOKIA ORD
FORTUM.HE,2024-12-31,FORTUM ORD
WRT1V.HE,2024-12-31,WARTSILA ORD
NDAFI.HE,2024-12-31,NORDEA BANK ABP ORD
ELISA.HE,2024-12-31,ELISA ORD
UPM.HE,2024-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2024-12-31,TIETOENATOR ORD
KCRA.HE,2024-12-31,KONECRANES OYJ ORD
HUH1V.HE,2024-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2024-12-31,KESKO ORD
TRIA.PA,2019-12-31,TRIGANO ORD
CVO.PA,2019-12-31,COVIVIO SA ORD
RXL.PA,2019-12-31,REXEL ORD
EMEIS.PA,2019-12-31,ORPEA ORD
SEVI.PA^B22,2019-12-31,SUEZ ORD
SGEF.PA,2019-12-31,VINCI ORD
INGC.PA^K20,2019-12-31,INGENICO GROUP
