RIC,Date,Name
NEXS.PA,2019-12-31,NEXANS PARIS ORD
APAM.AS,2019-12-31,APERAM ORD
LTEN.PA,2019-12-31,ALTEN ORD
VIV.PA,2019-12-31,VIVENDI ORD
IPN.PA,2019-12-31,IPSEN PROMESSES ORD
SOIT.PA,2019-12-31,SOITEC SA ORD
STDM.PA,2019-12-31,STEDIM ORD
BOLL.PA,2019-12-31,BOLLORE ORD
EDEN.PA,2019-12-31,EDENRED ORD
BNPP.PA,2019-12-31,BNP PARIBAS ORD
HRMS.PA,2019-12-31,HERMES INTL ORD
COFA.PA,2019-12-31,COFACE PROMESSES ORD
DANO.PA,2019-12-31,GROUPE DANONE ORD
URW.PA,2019-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD
TKTT.PA,2019-12-31,TARKETT
PRTP.PA,2019-12-31,KERING SA
QDT.PA,2019-12-31,QUADIENT ORD
AYV.PA,2019-12-31,ALD INTERNATIONAL SA ORD
BICP.PA,2019-12-31,SOCIETE BIC ORD
ATOS.PA,2019-12-31,ATOS SE ORD
ELIOR.PA,2019-12-31,ELIOR GROUP ORD
FNAC.PA,2019-12-31,FNAC DARTY ORD
MICP.PA,2019-12-31,MICHELIN ORD
SAF.PA,2019-12-31,SAFRAN ORD
RCOP.PA,2019-12-31,REMY COINTREAU ORD
DAST.PA,2019-12-31,DASSAULT SYSTEMES ORD
ACCP.PA,2019-12-31,ACCOR SA ORD
MWDP.PA,2019-12-31,WENDEL ORD
ORAN.PA,2019-12-31,ORANGE ORD
EUFI.PA,2019-12-31,EUROFINS SCIENTIFIC ORD
EXHO.PA,2019-12-31,SODEXO ORD
ENX.PA,2019-12-31,EURONEXT
BVI.PA,2019-12-31,BUREAU VERITAS REGISTRE INTL ORD
AIRF.PA,2019-12-31,AIR FRANCE-KLM ORD
AIRP.PA,2019-12-31,AIR LIQUIDE ORD
SASY.PA,2019-12-31,SANOFI-AVENTIS ORD
TFFP.PA,2019-12-31,TF1 ORD
ESLX.PA,2019-12-31,ESSILORLUXOTTICA ORD
AM.PA,2019-12-31,DASSAULT AVIATI ORD
AMUN.PA,2019-12-31,AMUNDI ORD
AIR.PA,2019-12-31,AIRBUS SE
AXAF.PA,2019-12-31,AXA ORD
GFCP.PA,2019-12-31,GECINA REIT
ALTT.PA^D20,2019-12-31,ALTRAN TECHNOLOGIES ORD
MT.AS,2019-12-31,ARCELORMITTAL ORD
ENGIE.PA,2019-12-31,ENGIE ORD
BOUY.PA,2019-12-31,BOUYGUES ORD
VLLP.PA,2019-12-31,VALLOUREC ORD
UBIP.PA,2019-12-31,UBISOFT ORD
EDF.PA^F23,2019-12-31,ELECTRICITE DE FRANCE SA
SEBF.PA,2019-12-31,SEB ORD
MERY.PA,2019-12-31,MERCIALYS REIT
CASP.PA,2019-12-31,CASINO ORD
SPIE.PA,2019-12-31,SPIE PROMESSES ORD SHS
PEUP.PA^A21,2019-12-31,PEUGEOT SA ORD
GTT.PA,2019-12-31,GTT PROMESSES ORD
FOUG.PA,2019-12-31,EIFFAGE ORD
VLOF.PA,2019-12-31,VALEO ORD
ICAD.PA,2019-12-31,ICADE REIT
SESFd.PA,2019-12-31,SES SA GDR
ERMT.PA,2019-12-31,ERAMET ORD
MMTP.PA,2019-12-31,METROPOLE TV ORD
LVMH.PA,2019-12-31,LVMH MOET HENNESSY LOUIS VUITT
GNFT.PA,2019-12-31,GENFIT ORD
SCHN.PA,2019-12-31,SCHNEIDER ELECTRIC SE
ISOS.PA,2019-12-31,IPSOS ORD
CAGR.PA,2019-12-31,CREDIT AGRICOLE ORD
SOGN.PA,2019-12-31,SOCIETE GENERALE ORD
BIOX.PA,2019-12-31,BIOMERIEUX ORD
NEXI.PA,2019-12-31,NEXITY ORD
LEGD.PA,2019-12-31,LEGRAND ORD
DBV.PA,2019-12-31,DBV TECHNOLOGIES ORD
SGOB.PA,2019-12-31,SAINT-GOBAIN ORD
ELIS.PA,2019-12-31,ELIS ORD SHS
FRVIA.PA,2019-12-31,FAURECIA SA ORD
IMTP.PA,2019-12-31,IMERYS ORD
SOPR.PA,2019-12-31,SOPRA STERIA GROUP
SOLB.BR,2019-12-31,SOLVAY ORD
CARR.PA,2019-12-31,CARREFOUR ORD
CNAT.PA^G21,2019-12-31,NATIXIS ORD
ILD.PA^J21,2019-12-31,ILIAD ORD
TTEF.PA,2019-12-31,TOTAL ORD
GETP.PA,2019-12-31,GETLINK ORD
RUBF.PA,2019-12-31,RUBIS ORD
JCDX.PA,2019-12-31,JCDECAUX ORD
ETL.PA,2019-12-31,EUTELSAT COMMUNICATIONS ORD
RENA.PA,2019-12-31,RENAULT PAR
PUBP.PA,2019-12-31,PUBLICIS GROUPE ORD
CLARI.PA,2019-12-31,KORIAN ORD
MDM.PA,2019-12-31,MAISONS DU MONDE SA WI ORD
LOIM.PA,2019-12-31,KLEPIERRE REIT
ADP.PA,2019-12-31,AEROPORTS DE PARIS ORD
SCOR.PA,2019-12-31,SCOR SE ORD
VCTP.PA,2019-12-31,VICAT SA ORD
CNPP.PA^F22,2019-12-31,CNP ASSURANCES ORD
VIRB.PA,2019-12-31,STE VIRBAC SA
TEPRF.PA,2019-12-31,TELEPERFORMANCE ORD
VIE.PA,2019-12-31,VEOLIA ENVIRONNEMENT VE ORD
VRLA.PA,2019-12-31,VERALLIA SASU ORD
OREP.PA,2019-12-31,L OREAL S.A.
ALSO.PA,2019-12-31,ALSTOM SA ORD
PERP.PA,2019-12-31,PERNOD-RICARD ORD
OPM.PA,2019-12-31,PLASTIC OMNIUM ORD
LAGA.PA,2019-12-31,LAGARDERE SCA ORD
EURA.PA,2019-12-31,EURAZEO ORD
STMPA.PA,2019-12-31,STMICROELECTRONICS ORD
WLN.PA,2019-12-31,WORLDLINE SA
TCFP.PA,2019-12-31,THALES ORD
FTI.PA^B22,2019-12-31,TECHNIPFMC LTD ORD
VIRI.PA,2019-12-31,CGG
EUCAR.PA^G22,2019-12-31,EUROPCAR MOBILITY GROUP SA ORD
AKE.PA,2019-12-31,ARKEMA ORD
CAPP.PA,2019-12-31,CAPGEMINI ORD
TRIA.PA,2020-12-31,TRIGANO ORD
CVO.PA,2020-12-31,COVIVIO SA ORD
RXL.PA,2020-12-31,REXEL ORD
EMEIS.PA,2020-12-31,ORPEA ORD
SEVI.PA^B22,2020-12-31,SUEZ ORD
SGEF.PA,2020-12-31,VINCI ORD
NEXS.PA,2020-12-31,NEXANS PARIS ORD
APAM.AS,2020-12-31,APERAM ORD
LTEN.PA,2020-12-31,ALTEN ORD
VIV.PA,2020-12-31,VIVENDI ORD
IPN.PA,2020-12-31,IPSEN PROMESSES ORD
SOIT.PA,2020-12-31,SOITEC SA ORD
STDM.PA,2020-12-31,STEDIM ORD
BOLL.PA,2020-12-31,BOLLORE ORD
EDEN.PA,2020-12-31,EDENRED ORD
ROBF.PA,2020-12-31,ROBERTET ORD
BNPP.PA,2020-12-31,BNP PARIBAS ORD
HRMS.PA,2020-12-31,HERMES INTL ORD
COFA.PA,2020-12-31,COFACE PROMESSES ORD
DANO.PA,2020-12-31,GROUPE DANONE ORD
URW.PA,2020-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD
PRTP.PA,2020-12-31,KERING SA
AYV.PA,2020-12-31,ALD INTERNATIONAL SA ORD
BICP.PA,2020-12-31,SOCIETE BIC ORD
ATOS.PA,2020-12-31,ATOS SE ORD
ABIO.PA^J22,2020-12-31,ALBIOMA
ELIOR.PA,2020-12-31,ELIOR GROUP ORD
ALMCP.PA,2020-12-31,MCPHY ENERGY ORD
FNAC.PA,2020-12-31,FNAC DARTY ORD
MICP.PA,2020-12-31,MICHELIN ORD
SAF.PA,2020-12-31,SAFRAN ORD
RCOP.PA,2020-12-31,REMY COINTREAU ORD
DAST.PA,2020-12-31,DASSAULT SYSTEMES ORD
ACCP.PA,2020-12-31,ACCOR SA ORD
MWDP.PA,2020-12-31,WENDEL ORD
ORAN.PA,2020-12-31,ORANGE ORD
EUFI.PA,2020-12-31,EUROFINS SCIENTIFIC ORD
EXHO.PA,2020-12-31,SODEXO ORD
ENX.PA,2020-12-31,EURONEXT
BVI.PA,2020-12-31,BUREAU VERITAS REGISTRE INTL ORD
AIRF.PA,2020-12-31,AIR FRANCE-KLM ORD
AIRP.PA,2020-12-31,AIR LIQUIDE ORD
SASY.PA,2020-12-31,SANOFI-AVENTIS ORD
TFFP.PA,2020-12-31,TF1 ORD
CARM.PA,2020-12-31,CARMILA ORD
ESLX.PA,2020-12-31,ESSILORLUXOTTICA ORD
AM.PA,2020-12-31,DASSAULT AVIATI ORD
AMUN.PA,2020-12-31,AMUNDI ORD
AIR.PA,2020-12-31,AIRBUS SE
AXAF.PA,2020-12-31,AXA ORD
GFCP.PA,2020-12-31,GECINA REIT
MT.AS,2020-12-31,ARCELORMITTAL ORD
ENGIE.PA,2020-12-31,ENGIE ORD
BOUY.PA,2020-12-31,BOUYGUES ORD
VLLP.PA,2020-12-31,VALLOUREC ORD
UBIP.PA,2020-12-31,UBISOFT ORD
EDF.PA^F23,2020-12-31,ELECTRICITE DE FRANCE SA
SEBF.PA,2020-12-31,SEB ORD
MERY.PA,2020-12-31,MERCIALYS REIT
CASP.PA,2020-12-31,CASINO ORD
SPIE.PA,2020-12-31,SPIE PROMESSES ORD SHS
PEUP.PA^A21,2020-12-31,PEUGEOT SA ORD
GTT.PA,2020-12-31,GTT PROMESSES ORD
FOUG.PA,2020-12-31,EIFFAGE ORD
VLOF.PA,2020-12-31,VALEO ORD
ICAD.PA,2020-12-31,ICADE REIT
SESFd.PA,2020-12-31,SES SA GDR
ERMT.PA,2020-12-31,ERAMET ORD
MMTP.PA,2020-12-31,METROPOLE TV ORD
LVMH.PA,2020-12-31,LVMH MOET HENNESSY LOUIS VUITT
SCHN.PA,2020-12-31,SCHNEIDER ELECTRIC SE
ISOS.PA,2020-12-31,IPSOS ORD
CAGR.PA,2020-12-31,CREDIT AGRICOLE ORD
SOGN.PA,2020-12-31,SOCIETE GENERALE ORD
BIOX.PA,2020-12-31,BIOMERIEUX ORD
NEXI.PA,2020-12-31,NEXITY ORD
LEGD.PA,2020-12-31,LEGRAND ORD
SGOB.PA,2020-12-31,SAINT-GOBAIN ORD
ELIS.PA,2020-12-31,ELIS ORD SHS
FRVIA.PA,2020-12-31,FAURECIA SA ORD
IMTP.PA,2020-12-31,IMERYS ORD
SOPR.PA,2020-12-31,SOPRA STERIA GROUP
S30.PA,2020-12-31,SOLUTIONS 30 SE
SOLB.BR,2020-12-31,SOLVAY ORD
CARR.PA,2020-12-31,CARREFOUR ORD
CNAT.PA^G21,2020-12-31,NATIXIS ORD
ILD.PA^J21,2020-12-31,ILIAD ORD
TTEF.PA,2020-12-31,TOTAL ORD
GETP.PA,2020-12-31,GETLINK ORD
RUBF.PA,2020-12-31,RUBIS ORD
JCDX.PA,2020-12-31,JCDECAUX ORD
ETL.PA,2020-12-31,EUTELSAT COMMUNICATIONS ORD
RENA.PA,2020-12-31,RENAULT PAR
PUBP.PA,2020-12-31,PUBLICIS GROUPE ORD
CLARI.PA,2020-12-31,KORIAN ORD
MDM.PA,2020-12-31,MAISONS DU MONDE SA WI ORD
LOIM.PA,2020-12-31,KLEPIERRE REIT
ADP.PA,2020-12-31,AEROPORTS DE PARIS ORD
SCOR.PA,2020-12-31,SCOR SE ORD
CNPP.PA^F22,2020-12-31,CNP ASSURANCES ORD
VIRB.PA,2020-12-31,STE VIRBAC SA
TEPRF.PA,2020-12-31,TELEPERFORMANCE ORD
KOF.PA,2020-12-31,KAUFMAN AND BROAD ORD
VIE.PA,2020-12-31,VEOLIA ENVIRONNEMENT VE ORD
VRLA.PA,2020-12-31,VERALLIA SASU ORD
OREP.PA,2020-12-31,L OREAL S.A.
FDJU.PA,2020-12-31,LA FRANCAISE DES JEUX SA ORD
NEOEN.PA^D25,2020-12-31,NEOEN SA ORD
ALSO.PA,2020-12-31,ALSTOM SA ORD
PERP.PA,2020-12-31,PERNOD-RICARD ORD
OPM.PA,2020-12-31,PLASTIC OMNIUM ORD
LAGA.PA,2020-12-31,LAGARDERE SCA ORD
EURA.PA,2020-12-31,EURAZEO ORD
STMPA.PA,2020-12-31,STMICROELECTRONICS ORD
WLN.PA,2020-12-31,WORLDLINE SA
TCFP.PA,2020-12-31,THALES ORD
FTI.PA^B22,2020-12-31,TECHNIPFMC LTD ORD
VIRI.PA,2020-12-31,CGG
AKE.PA,2020-12-31,ARKEMA ORD
CAPP.PA,2020-12-31,CAPGEMINI ORD
TRIA.PA,2021-12-31,TRIGANO ORD
CVO.PA,2021-12-31,COVIVIO SA ORD
RXL.PA,2021-12-31,REXEL ORD
EMEIS.PA,2021-12-31,ORPEA ORD
SEVI.PA^B22,2021-12-31,SUEZ ORD
SGEF.PA,2021-12-31,VINCI ORD
NEXS.PA,2021-12-31,NEXANS PARIS ORD
APAM.AS,2021-12-31,APERAM ORD
LTEN.PA,2021-12-31,ALTEN ORD
VIV.PA,2021-12-31,VIVENDI ORD
IPN.PA,2021-12-31,IPSEN PROMESSES ORD
SOIT.PA,2021-12-31,SOITEC SA ORD
STLAM.PA,2021-12-31,STELLANTIS NV ORD
STDM.PA,2021-12-31,STEDIM ORD
BOLL.PA,2021-12-31,BOLLORE ORD
EDEN.PA,2021-12-31,EDENRED ORD
BNPP.PA,2021-12-31,BNP PARIBAS ORD
HRMS.PA,2021-12-31,HERMES INTL ORD
COFA.PA,2021-12-31,COFACE PROMESSES ORD
DANO.PA,2021-12-31,GROUPE DANONE ORD
URW.PA,2021-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD
VLS.PA,2021-12-31,VALNEVA
PRTP.PA,2021-12-31,KERING SA
AYV.PA,2021-12-31,ALD INTERNATIONAL SA ORD
BICP.PA,2021-12-31,SOCIETE BIC ORD
ATOS.PA,2021-12-31,ATOS SE ORD
ABIO.PA^J22,2021-12-31,ALBIOMA
ELIOR.PA,2021-12-31,ELIOR GROUP ORD
ALMCP.PA,2021-12-31,MCPHY ENERGY ORD
FNAC.PA,2021-12-31,FNAC DARTY ORD
MICP.PA,2021-12-31,MICHELIN ORD
SAF.PA,2021-12-31,SAFRAN ORD
RCOP.PA,2021-12-31,REMY COINTREAU ORD
DAST.PA,2021-12-31,DASSAULT SYSTEMES ORD
ACCP.PA,2021-12-31,ACCOR SA ORD
OVH.PA,2021-12-31,OVH GROUPE SAS ORD
MWDP.PA,2021-12-31,WENDEL ORD
ORAN.PA,2021-12-31,ORANGE ORD
EUFI.PA,2021-12-31,EUROFINS SCIENTIFIC ORD
EXHO.PA,2021-12-31,SODEXO ORD
ENX.PA,2021-12-31,EURONEXT
BVI.PA,2021-12-31,BUREAU VERITAS REGISTRE INTL ORD
AIRF.PA,2021-12-31,AIR FRANCE-KLM ORD
AIRP.PA,2021-12-31,AIR LIQUIDE ORD
SASY.PA,2021-12-31,SANOFI SA ORD
TFFP.PA,2021-12-31,TF1 ORD
ESLX.PA,2021-12-31,ESSILORLUXOTTICA ORD
AM.PA,2021-12-31,DASSAULT AVIATI ORD
AMUN.PA,2021-12-31,AMUNDI ORD
AIR.PA,2021-12-31,AIRBUS SE
AXAF.PA,2021-12-31,AXA ORD
GFCP.PA,2021-12-31,GECINA REIT
MT.AS,2021-12-31,ARCELORMITTAL ORD
ENGIE.PA,2021-12-31,ENGIE ORD
DBG.PA,2021-12-31,DERICHEBOURG ORD
BOUY.PA,2021-12-31,BOUYGUES ORD
VLLP.PA,2021-12-31,VALLOUREC ORD
UBIP.PA,2021-12-31,UBISOFT ORD
EDF.PA^F23,2021-12-31,ELECTRICITE DE FRANCE SA
SEBF.PA,2021-12-31,SEB ORD
MERY.PA,2021-12-31,MERCIALYS REIT
CASP.PA,2021-12-31,CASINO ORD
SPIE.PA,2021-12-31,SPIE PROMESSES ORD SHS
GTT.PA,2021-12-31,GTT PROMESSES ORD
FOUG.PA,2021-12-31,EIFFAGE ORD
VLOF.PA,2021-12-31,VALEO ORD
ICAD.PA,2021-12-31,ICADE REIT
SESFd.PA,2021-12-31,SES SA GDR
ERMT.PA,2021-12-31,ERAMET ORD
MMTP.PA,2021-12-31,METROPOLE TV ORD
LVMH.PA,2021-12-31,LVMH MOET HENNESSY LOUIS VUITT
SCHN.PA,2021-12-31,SCHNEIDER ELECTRIC SE
ISOS.PA,2021-12-31,IPSOS ORD
CAGR.PA,2021-12-31,CREDIT AGRICOLE ORD
SOGN.PA,2021-12-31,SOCIETE GENERALE ORD
BIOX.PA,2021-12-31,BIOMERIEUX ORD
NEXI.PA,2021-12-31,NEXITY ORD
LEGD.PA,2021-12-31,LEGRAND ORD
SGOB.PA,2021-12-31,SAINT-GOBAIN ORD
ELIS.PA,2021-12-31,ELIS ORD SHS
FRVIA.PA,2021-12-31,FAURECIA SA ORD
IMTP.PA,2021-12-31,IMERYS ORD
SOPR.PA,2021-12-31,SOPRA STERIA GROUP
S30.PA,2021-12-31,SOLUTIONS 30 SE
SOLB.BR,2021-12-31,SOLVAY ORD
CARR.PA,2021-12-31,CARREFOUR ORD
TTEF.PA,2021-12-31,TOTALENERGIES SE ORD
GETP.PA,2021-12-31,GETLINK ORD
RUBF.PA,2021-12-31,RUBIS ORD
JCDX.PA,2021-12-31,JCDECAUX ORD
ETL.PA,2021-12-31,EUTELSAT COMMUNICATIONS ORD
RENA.PA,2021-12-31,RENAULT PAR
PUBP.PA,2021-12-31,PUBLICIS GROUPE ORD
CLARI.PA,2021-12-31,KORIAN ORD
MDM.PA,2021-12-31,MAISONS DU MONDE SA WI ORD
LOIM.PA,2021-12-31,KLEPIERRE REIT
ADP.PA,2021-12-31,AEROPORTS DE PARIS ORD
TE.PA,2021-12-31,TECHNIP ENERGIES BV ORD
SCOR.PA,2021-12-31,SCOR SE ORD
CNPP.PA^F22,2021-12-31,CNP ASSURANCES ORD
VIRB.PA,2021-12-31,STE VIRBAC SA
TEPRF.PA,2021-12-31,TELEPERFORMANCE ORD
VIE.PA,2021-12-31,VEOLIA ENVIRONNEMENT VE ORD
VRLA.PA,2021-12-31,VERALLIA SASU ORD
OREP.PA,2021-12-31,L OREAL S.A.
FDJU.PA,2021-12-31,LA FRANCAISE DES JEUX SA ORD
NEOEN.PA^D25,2021-12-31,NEOEN SA ORD
ALSO.PA,2021-12-31,ALSTOM SA ORD
PERP.PA,2021-12-31,PERNOD-RICARD ORD
OPM.PA,2021-12-31,PLASTIC OMNIUM ORD
LAGA.PA,2021-12-31,LAGARDERE SCA ORD
EURA.PA,2021-12-31,EURAZEO ORD
STMPA.PA,2021-12-31,STMICROELECTRONICS ORD
WLN.PA,2021-12-31,WORLDLINE SA
TCFP.PA,2021-12-31,THALES ORD
FTI.PA^B22,2021-12-31,TECHNIPFMC PLC ORD
VIRI.PA,2021-12-31,CGG
EUCAR.PA^G22,2021-12-31,EUROPCAR MOBILITY GROUP SA ORD
AKE.PA,2021-12-31,ARKEMA ORD
CAPP.PA,2021-12-31,CAPGEMINI ORD
TRIA.PA,2022-12-31,TRIGANO ORD
CVO.PA,2022-12-31,COVIVIO SA ORD
RXL.PA,2022-12-31,REXEL ORD
EMEIS.PA,2022-12-31,ORPEA ORD
SGEF.PA,2022-12-31,VINCI ORD
NEXS.PA,2022-12-31,NEXANS PARIS ORD
APAM.AS,2022-12-31,APERAM ORD
LTEN.PA,2022-12-31,ALTEN ORD
VIV.PA,2022-12-31,VIVENDI ORD
IPN.PA,2022-12-31,IPSEN PROMESSES ORD
SOIT.PA,2022-12-31,SOITEC SA ORD
STLAM.PA,2022-12-31,STELLANTIS NV ORD
STDM.PA,2022-12-31,STEDIM ORD
BOLL.PA,2022-12-31,BOLLORE ORD
EDEN.PA,2022-12-31,EDENRED ORD
BNPP.PA,2022-12-31,BNP PARIBAS ORD
IMAF.PA,2022-12-31,ALTAREA ORD
HRMS.PA,2022-12-31,HERMES INTL ORD
COFA.PA,2022-12-31,COFACE PROMESSES ORD
DANO.PA,2022-12-31,GROUPE DANONE ORD
URW.PA,2022-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD
VLS.PA,2022-12-31,VALNEVA
PRTP.PA,2022-12-31,KERING SA
AYV.PA,2022-12-31,ALD INTERNATIONAL SA ORD
BICP.PA,2022-12-31,SOCIETE BIC ORD
ATOS.PA,2022-12-31,ATOS SE ORD
ELIOR.PA,2022-12-31,ELIOR GROUP ORD
ALMCP.PA,2022-12-31,MCPHY ENERGY ORD
FNAC.PA,2022-12-31,FNAC DARTY ORD
MICP.PA,2022-12-31,MICHELIN ORD
SAF.PA,2022-12-31,SAFRAN ORD
RCOP.PA,2022-12-31,REMY COINTREAU ORD
DAST.PA,2022-12-31,DASSAULT SYSTEMES ORD
ACCP.PA,2022-12-31,ACCOR SA ORD
ANTIN.PA,2022-12-31,ANTIN INFRASTRUCTURE PARTNERS SAS ORD
OVH.PA,2022-12-31,OVH GROUPE SAS ORD
MWDP.PA,2022-12-31,WENDEL ORD
ORAN.PA,2022-12-31,ORANGE ORD
EUFI.PA,2022-12-31,EUROFINS SCIENTIFIC ORD
EXHO.PA,2022-12-31,SODEXO ORD
ENX.PA,2022-12-31,EURONEXT
BVI.PA,2022-12-31,BUREAU VERITAS REGISTRE INTL ORD
AIRF.PA,2022-12-31,AIR FRANCE-KLM ORD
AIRP.PA,2022-12-31,AIR LIQUIDE ORD
SASY.PA,2022-12-31,SANOFI SA ORD
TFFP.PA,2022-12-31,TF1 ORD
CARM.PA,2022-12-31,CARMILA ORD
ESLX.PA,2022-12-31,ESSILORLUXOTTICA ORD
