RIC,Date,Name
DHER.DE,2021-12-31,DELIVERY HERO AG ORD
ENR1n.DE,2021-12-31,SIEMENS ENERGY AG ORD
MBGn.DE,2021-12-31,DAIMLER AG ORD
BNRGn.DE,2021-12-31,BRENNTAG ORD
AIRG.DE,2021-12-31,AIRBUS SE
VNAn.DE,2021-12-31,VONOVIA SE
DB1Gn.DE,2021-12-31,DEUTSCHE BOERSE AG ORD
PUMG.DE,2021-12-31,PUMA SE ORD
QIA.DE,2021-12-31,QIAGEN ORD
BASFn.DE,2022-12-31,BASF SE ORD
IFXGn.DE,2022-12-31,INFINEON TECHNOLOGIES ORD
SIEGn.DE,2022-12-31,SIEMENS ORD
EONGn.DE,2022-12-31,E.ON ORD
DBKGn.DE,2022-12-31,DEUTSCHE BANK ORD
SATG_p.DE,2022-12-31,SARTORIUS PRF
SAPG.DE,2022-12-31,SAP SE ORD
BAYGn.DE,2022-12-31,BAYER AG
RWEG.DE,2022-12-31,RWE ST A ORD
1COVG.DE,2022-12-31,COVESTRO ORD
HNKG_p.DE,2022-12-31,HENKEL& KGAA PRF
ZALG.DE,2022-12-31,ZALANDO ORD SHS
DTEGn.DE,2022-12-31,DEUTSCHE TELEKOM AG ORD
LIN.DE,2022-12-31,LINDE PLC ORD
MRCG.DE,2022-12-31,MERCK ORD
PSHG_p.DE,2022-12-31,PORSCHE SE VZ PRF
VOWG_p.DE,2022-12-31,VOLKSWAGEN PRF
BMWG.DE,2022-12-31,BMW AG
BEIG.DE,2022-12-31,BEIERSDORF ORD
HEIG.DE,2022-12-31,HEIDELBGCEMENT ORD
MTXGn.DE,2022-12-31,MTU AERO ENGINES ORD
FMEG.DE,2022-12-31,FRESENIUS MEDICAL CARE ORD
FREG.DE,2022-12-31,FRESENIUS SE ORD
DHLn.DE,2022-12-31,DEUTSCHE POST ORD
ALVG.DE,2022-12-31,ALLIANZ SE ORD
MUVGn.DE,2022-12-31,MUNICH RE ORD
CONG.DE,2022-12-31,CONTINENTAL ORD
SHLG.DE,2022-12-31,SIEMENS HEALTHINEERS AG ORD
SY1G.DE,2022-12-31,SYMRISE ORD
ADSGn.DE,2022-12-31,ADIDAS ORD
HNRGn.DE,2022-12-31,HANNOVER RUECKVERSICHERUNG ORD
DTGGe.DE,2022-12-31,DAIMLER TRUCK AG ORD
ENR1n.DE,2022-12-31,SIEMENS ENERGY AG ORD
MBGn.DE,2022-12-31,MERCEDES-BENZ GROUP AG ORD
BNRGn.DE,2022-12-31,BRENNTAG ORD
AIRG.DE,2022-12-31,AIRBUS SE
VNAn.DE,2022-12-31,VONOVIA SE
DB1Gn.DE,2022-12-31,DEUTSCHE BOERSE AG ORD
QIA.DE,2022-12-31,QIAGEN ORD
P911_p.DE,2022-12-31,DR ING HC F PORSCHE AG PREF
BASFn.DE,2023-12-31,BASF SE ORD
IFXGn.DE,2023-12-31,INFINEON TECHNOLOGIES ORD
SIEGn.DE,2023-12-31,SIEMENS ORD
EONGn.DE,2023-12-31,E.ON ORD
DBKGn.DE,2023-12-31,DEUTSCHE BANK ORD
SATG_p.DE,2023-12-31,SARTORIUS PRF
SAPG.DE,2023-12-31,SAP SE ORD
BAYGn.DE,2023-12-31,BAYER AG
RWEG.DE,2023-12-31,RWE ST A ORD
1COVG.DE,2023-12-31,COVESTRO ORD
HNKG_p.DE,2023-12-31,HENKEL& KGAA PRF
ZALG.DE,2023-12-31,ZALANDO ORD SHS
DTEGn.DE,2023-12-31,DEUTSCHE TELEKOM AG ORD
MRCG.DE,2023-12-31,MERCK ORD
PSHG_p.DE,2023-12-31,PORSCHE SE VZ PRF
VOWG_p.DE,2023-12-31,VOLKSWAGEN PRF
BMWG.DE,2023-12-31,BMW AG
BEIG.DE,2023-12-31,BEIERSDORF ORD
HEIG.DE,2023-12-31,HEIDELBGCEMENT ORD
RHMG.DE,2023-12-31,RHEINMETALL ORD
MTXGn.DE,2023-12-31,MTU AERO ENGINES ORD
FREG.DE,2023-12-31,FRESENIUS SE ORD
DHLn.DE,2023-12-31,DEUTSCHE POST ORD
ALVG.DE,2023-12-31,ALLIANZ SE ORD
MUVGn.DE,2023-12-31,MUNICH RE ORD
CONG.DE,2023-12-31,CONTINENTAL ORD
SHLG.DE,2023-12-31,SIEMENS HEALTHINEERS AG ORD
SY1G.DE,2023-12-31,SYMRISE ORD
ADSGn.DE,2023-12-31,ADIDAS ORD
HNRGn.DE,2023-12-31,HANNOVER RUECKVERSICHERUNG ORD
DTGGe.DE,2023-12-31,DAIMLER TRUCK AG ORD
ENR1n.DE,2023-12-31,SIEMENS ENERGY AG ORD
MBGn.DE,2023-12-31,MERCEDES-BENZ GROUP AG ORD
BNRGn.DE,2023-12-31,BRENNTAG ORD
CBKG.DE,2023-12-31,COMMERZBANK AG
AIRG.DE,2023-12-31,AIRBUS SE
VNAn.DE,2023-12-31,VONOVIA SE
DB1Gn.DE,2023-12-31,DEUTSCHE BOERSE AG ORD
QIA.DE,2023-12-31,QIAGEN ORD
P911_p.DE,2023-12-31,DR ING HC F PORSCHE AG PREF
BASFn.DE,2024-12-31,BASF SE ORD
IFXGn.DE,2024-12-31,INFINEON TECHNOLOGIES ORD
SIEGn.DE,2024-12-31,SIEMENS ORD
EONGn.DE,2024-12-31,E.ON ORD
DBKGn.DE,2024-12-31,DEUTSCHE BANK ORD
SATG_p.DE,2024-12-31,SARTORIUS PRF
SAPG.DE,2024-12-31,SAP SE ORD
BAYGn.DE,2024-12-31,BAYER AG
RWEG.DE,2024-12-31,RWE ST A ORD
HNKG_p.DE,2024-12-31,HENKEL& KGAA PRF
ZALG.DE,2024-12-31,ZALANDO ORD SHS
DTEGn.DE,2024-12-31,DEUTSCHE TELEKOM AG ORD
MRCG.DE,2024-12-31,MERCK ORD
PSHG_p.DE,2024-12-31,PORSCHE SE VZ PRF
VOWG_p.DE,2024-12-31,VOLKSWAGEN PRF
BMWG.DE,2024-12-31,BMW AG
BEIG.DE,2024-12-31,BEIERSDORF ORD
HEIG.DE,2024-12-31,HEIDELBGCEMENT ORD
RHMG.DE,2024-12-31,RHEINMETALL ORD
MTXGn.DE,2024-12-31,MTU AERO ENGINES ORD
FMEG.DE,2024-12-31,FRESENIUS MEDICAL CARE ORD
FREG.DE,2024-12-31,FRESENIUS SE ORD
DHLn.DE,2024-12-31,DEUTSCHE POST ORD
ALVG.DE,2024-12-31,ALLIANZ SE ORD
MUVGn.DE,2024-12-31,MUNICH RE ORD
CONG.DE,2024-12-31,CONTINENTAL ORD
SHLG.DE,2024-12-31,SIEMENS HEALTHINEERS AG ORD
SY1G.DE,2024-12-31,SYMRISE ORD
ADSGn.DE,2024-12-31,ADIDAS ORD
HNRGn.DE,2024-12-31,HANNOVER RUECKVERSICHERUNG ORD
DTGGe.DE,2024-12-31,DAIMLER TRUCK AG ORD
ENR1n.DE,2024-12-31,SIEMENS ENERGY AG ORD
MBGn.DE,2024-12-31,MERCEDES-BENZ GROUP AG ORD
BNRGn.DE,2024-12-31,BRENNTAG ORD
CBKG.DE,2024-12-31,COMMERZBANK AG
AIRG.DE,2024-12-31,AIRBUS SE
VNAn.DE,2024-12-31,VONOVIA SE
DB1Gn.DE,2024-12-31,DEUTSCHE BOERSE AG ORD
QIA.DE,2024-12-31,QIAGEN ORD
P911_p.DE,2024-12-31,DR ING HC F PORSCHE AG PREF
PRX.AS,2019-12-31,
MT.AS,2019-12-31,ARCELORMITTAL ORD
ASRNL.AS,2019-12-31,ARS NEDERLAND NV WHEN ISSUED
RAND.AS,2019-12-31,RANDSTAD ORD
ASML.AS,2019-12-31,ASML HOLDING ORD
AEGN.AS,2019-12-31,AEGON ORD
SHEL.AS,2019-12-31,ROYAL DUTCH SHELL ORD SH A
INGA.AS,2019-12-31,ING GROEP ORD
ABNd.AS,2019-12-31,ABN AMRO BANK ORD
DSMN.AS^E23,2019-12-31,KONINKLIJKE DSM ORD
AKZO.AS,2019-12-31,AKZO NOBEL ORD
VOPA.AS,2019-12-31,VOPAK ORD
IMCD.AS,2019-12-31,IMCD
HEIN.AS,2019-12-31,HEINEKEN ORD
REL.AS,2019-12-31,RELX PLC ORD
AALB.AS,2019-12-31,AALBERTS ORD
PHG.AS,2019-12-31,KONINKLIJKE PHILIPS NV
UNA.AS^K20,2019-12-31,UNILEVER OS ORD
AD.AS,2019-12-31,KONINKLIJKE AHOLD DELHAIZE NV ORD
WLSNc.AS,2019-12-31,WOLTERS KLUWERS ORD
ADYEN.AS,2019-12-31,ADYEN NV ORD
URW.PA,2019-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD
NN.AS,2019-12-31,NN GROUP ORD SHS
GLPG.AS,2019-12-31,GALAPAGOS ORD
KPN.AS,2019-12-31,KPN-KON.NV ORD
TKWY.AS,2019-12-31,TAKEAWAY.COM HOLDING ORD
TKWY.AS,2019-12-31,TAKEAWAY.COM HOLDING ORD
PRX.AS,2020-12-31,PROSUS NV ORD
MT.AS,2020-12-31,ARCELORMITTAL ORD
ASRNL.AS,2020-12-31,ARS NEDERLAND NV WHEN ISSUED
ULVR.AS,2020-12-31,UNILEVER PLC ORD
RAND.AS,2020-12-31,RANDSTAD ORD
ASMI.AS,2020-12-31,ASM INTL ORD
ASML.AS,2020-12-31,ASML HOLDING ORD
AEGN.AS,2020-12-31,AEGON ORD
SHEL.AS,2020-12-31,ROYAL DUTCH SHELL ORD SH A
INGA.AS,2020-12-31,ING GROEP ORD
ABNd.AS,2020-12-31,ABN AMRO BANK ORD
DSMN.AS^E23,2020-12-31,KONINKLIJKE DSM ORD
AKZO.AS,2020-12-31,AKZO NOBEL ORD
IMCD.AS,2020-12-31,IMCD
HEIN.AS,2020-12-31,HEINEKEN ORD
REL.AS,2020-12-31,RELX PLC ORD
PHG.AS,2020-12-31,KONINKLIJKE PHILIPS NV
AD.AS,2020-12-31,KONINKLIJKE AHOLD DELHAIZE NV ORD
WLSNc.AS,2020-12-31,WOLTERS KLUWERS ORD
ADYEN.AS,2020-12-31,ADYEN NV ORD
URW.PA,2020-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD
NN.AS,2020-12-31,NN GROUP ORD SHS
GLPG.AS,2020-12-31,GALAPAGOS ORD
KPN.AS,2020-12-31,KPN-KON.NV ORD
TKWY.AS,2020-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2020-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2020-12-31,JUST EAT TAKEAWAY.COM NV ORD
PRX.AS,2021-12-31,PROSUS NV ORD
MT.AS,2021-12-31,ARCELORMITTAL ORD
BESI.AS,2021-12-31,BE SEMICONDUCTOR ORD
ULVR.AS,2021-12-31,UNILEVER PLC ORD
RAND.AS,2021-12-31,RANDSTAD ORD
ASMI.AS,2021-12-31,ASM INTL ORD
ASML.AS,2021-12-31,ASML HOLDING ORD
AEGN.AS,2021-12-31,AEGON ORD
SHEL.AS,2021-12-31,ROYAL DUTCH SHELL ORD SH A
INGA.AS,2021-12-31,ING GROEP ORD
DSMN.AS^E23,2021-12-31,KONINKLIJKE DSM ORD
AKZO.AS,2021-12-31,AKZO NOBEL ORD
IMCD.AS,2021-12-31,IMCD
HEIN.AS,2021-12-31,HEINEKEN ORD
REL.AS,2021-12-31,RELX PLC ORD
PHG.AS,2021-12-31,KONINKLIJKE PHILIPS NV
AD.AS,2021-12-31,KONINKLIJKE AHOLD DELHAIZE NV ORD
WLSNc.AS,2021-12-31,WOLTERS KLUWERS ORD
ADYEN.AS,2021-12-31,ADYEN NV ORD
URW.PA,2021-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD
LIGHT.AS,2021-12-31,SIGNIFY NV ORD
NN.AS,2021-12-31,NN GROUP ORD SHS
KPN.AS,2021-12-31,KPN-KON.NV ORD
UMG.AS,2021-12-31,UNIVERSAL MUSIC GROUP NV ORD
TKWY.AS,2021-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2021-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2021-12-31,JUST EAT TAKEAWAY.COM NV ORD
PRX.AS,2022-12-31,PROSUS NV ORD
MT.AS,2022-12-31,ARCELORMITTAL ORD
BESI.AS,2022-12-31,BE SEMICONDUCTOR ORD
EXOR.AS,2022-12-31,
ULVR.AS,2022-12-31,UNILEVER PLC ORD
SHEL.AS,2022-12-31,SHELL PLC ORD
RAND.AS,2022-12-31,RANDSTAD ORD
ASMI.AS,2022-12-31,ASM INTL ORD
ASML.AS,2022-12-31,ASML HOLDING ORD
AEGN.AS,2022-12-31,AEGON ORD
INGA.AS,2022-12-31,ING GROEP ORD
DSMN.AS^E23,2022-12-31,KONINKLIJKE DSM ORD
AKZO.AS,2022-12-31,AKZO NOBEL ORD
IMCD.AS,2022-12-31,IMCD
HEIN.AS,2022-12-31,HEINEKEN ORD
REL.AS,2022-12-31,RELX PLC ORD
PHG.AS,2022-12-31,KONINKLIJKE PHILIPS NV
AD.AS,2022-12-31,KONINKLIJKE AHOLD DELHAIZE NV ORD
WLSNc.AS,2022-12-31,WOLTERS KLUWERS ORD
ADYEN.AS,2022-12-31,ADYEN NV ORD
URW.PA,2022-12-31,UNIBAIL-RODAMCO-WESTFIELD ORD
LIGHT.AS,2022-12-31,SIGNIFY NV ORD
NN.AS,2022-12-31,NN GROUP ORD SHS
KPN.AS,2022-12-31,KPN-KON.NV ORD
UMG.AS,2022-12-31,UNIVERSAL MUSIC GROUP NV ORD
TKWY.AS,2022-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2022-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2022-12-31,JUST EAT TAKEAWAY.COM NV ORD
DSFIR.AS,2023-12-31,
PRX.AS,2023-12-31,PROSUS NV ORD
MT.AS,2023-12-31,ARCELORMITTAL ORD
BESI.AS,2023-12-31,BE SEMICONDUCTOR ORD
ASRNL.AS,2023-12-31,ARS NEDERLAND NV WHEN ISSUED
EXOR.AS,2023-12-31,
ULVR.AS,2023-12-31,UNILEVER PLC ORD
SHEL.AS,2023-12-31,SHELL PLC ORD
RAND.AS,2023-12-31,RANDSTAD ORD
ASMI.AS,2023-12-31,ASM INTL ORD
ASML.AS,2023-12-31,ASML HOLDING ORD
AEGN.AS,2023-12-31,AEGON ORD
INGA.AS,2023-12-31,ING GROEP ORD
ABNd.AS,2023-12-31,ABN AMRO BANK ORD
AKZO.AS,2023-12-31,AKZO NOBEL ORD
IMCD.AS,2023-12-31,IMCD
HEIN.AS,2023-12-31,HEINEKEN ORD
REL.AS,2023-12-31,RELX PLC ORD
PHG.AS,2023-12-31,KONINKLIJKE PHILIPS NV
AD.AS,2023-12-31,KONINKLIJKE AHOLD DELHAIZE NV ORD
WLSNc.AS,2023-12-31,WOLTERS KLUWERS ORD
ADYEN.AS,2023-12-31,ADYEN NV ORD
NN.AS,2023-12-31,NN GROUP ORD SHS
KPN.AS,2023-12-31,KPN-KON.NV ORD
UMG.AS,2023-12-31,UNIVERSAL MUSIC GROUP NV ORD
TKWY.AS,2023-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2023-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2023-12-31,JUST EAT TAKEAWAY.COM NV ORD
DSFIR.AS,2024-12-31,
PRX.AS,2024-12-31,PROSUS NV ORD
MT.AS,2024-12-31,ARCELORMITTAL ORD
BESI.AS,2024-12-31,BE SEMICONDUCTOR ORD
ASRNL.AS,2024-12-31,ARS NEDERLAND NV WHEN ISSUED
EXOR.AS,2024-12-31,
ULVR.AS,2024-12-31,UNILEVER PLC ORD
SHEL.AS,2024-12-31,SHELL PLC ORD
RAND.AS,2024-12-31,RANDSTAD ORD
ASMI.AS,2024-12-31,ASM INTL ORD
ASML.AS,2024-12-31,ASML HOLDING ORD
AEGN.AS,2024-12-31,AEGON ORD
INGA.AS,2024-12-31,ING GROEP ORD
ABNd.AS,2024-12-31,ABN AMRO BANK ORD
AKZO.AS,2024-12-31,AKZO NOBEL ORD
IMCD.AS,2024-12-31,IMCD
HEIN.AS,2024-12-31,HEINEKEN ORD
REL.AS,2024-12-31,RELX PLC ORD
PHG.AS,2024-12-31,KONINKLIJKE PHILIPS NV
AD.AS,2024-12-31,KONINKLIJKE AHOLD DELHAIZE NV ORD
WLSNc.AS,2024-12-31,WOLTERS KLUWERS ORD
ADYEN.AS,2024-12-31,ADYEN NV ORD
NN.AS,2024-12-31,NN GROUP ORD SHS
KPN.AS,2024-12-31,KPN-KON.NV ORD
UMG.AS,2024-12-31,UNIVERSAL MUSIC GROUP NV ORD
TKWY.AS,2024-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2024-12-31,JUST EAT TAKEAWAY.COM NV ORD
TKWY.AS,2024-12-31,JUST EAT TAKEAWAY.COM NV ORD
BOSN.AS^K22,2019-12-31,ROYAL BOSKALIS ORD
AIRF.PA,2019-12-31,AIR FRANCE-KLM ORD
PTNL.AS,2019-12-31,POSTNL ORD
ATCA.AS^A21,2019-12-31,ALTICE EUROPE NV ORD
BFIT.AS,2019-12-31,BASIC FIT NV ORD
SBMO.AS,2019-12-31,SBM OFFSHORE ORD
LIGHT.AS,2019-12-31,SIGNIFY NV ORD
BAMN.AS,2019-12-31,KONINKLIJKE BAM GROEP ORD
TKWY.AS,2019-12-31,TAKEAWAY.COM HOLDING ORD
GVNV.AS^A22,2019-12-31,GRANDVISION
APAM.AS,2019-12-31,APERAM ORD
CORB.AS,2019-12-31,CSM ORD
AMG.AS,2019-12-31,AMG ORD
ARDS.AS,2019-12-31,ARCADIS ORD
ASMI.AS,2019-12-31,ASM INTL ORD
OCI.AS,2019-12-31,OCI
WDPP.BR,2019-12-31,WDP-SICAFI REIT
FLOW.AS,2019-12-31,FLOW TRADERS ORD
FUGR.AS,2019-12-31,FUGRO NV ORD
TWKNc.AS,2019-12-31,TWENTSCHE KABEL ORD
INTER.AS^L22,2019-12-31,INTERTRUST GROUP HOLDING ORD WI
ECMPA.AS,2019-12-31,EUROCOMMERCIAL PROPERTIES REIT
WEHA.AS,2019-12-31,WERELDHAVE REIT
FAGRO.BR,2019-12-31,FAGRON
BESI.AS,2019-12-31,BE SEMICONDUCTOR ORD
BOSN.AS^K22,2020-12-31,ROYAL BOSKALIS ORD
NSTEc.AS,2020-12-31,NSI NV
AIRF.PA,2020-12-31,AIR FRANCE-KLM ORD
PHAR.AS,2020-12-31,PHARMING GROUP ORD
PTNL.AS,2020-12-31,POSTNL ORD
ATCA.AS^A21,2020-12-31,ALTICE EUROPE NV ORD
BFIT.AS,2020-12-31,BASIC FIT NV ORD
SBMO.AS,2020-12-31,SBM OFFSHORE ORD
LIGHT.AS,2020-12-31,SIGNIFY NV ORD
GVNV.AS^A22,2020-12-31,GRANDVISION
APAM.AS,2020-12-31,APERAM ORD
CORB.AS,2020-12-31,CSM ORD
ARDS.AS,2020-12-31,ARCADIS ORD
JDEP.AS,2020-12-31,JDE PEETS ORD
VOPA.AS,2020-12-31,VOPAK ORD
OCI.AS,2020-12-31,OCI
WDPP.BR,2020-12-31,WDP-SICAFI REIT
FLOW.AS,2020-12-31,FLOW TRADERS ORD
FUGR.AS,2020-12-31,FUGRO NV ORD
TWKNc.AS,2020-12-31,TWENTSCHE KABEL ORD
INTER.AS^L22,2020-12-31,INTERTRUST GROUP HOLDING ORD WI
ECMPA.AS,2020-12-31,EUROCOMMERCIAL PROPERTIES REIT
AALB.AS,2020-12-31,AALBERTS ORD
FAGRO.BR,2020-12-31,FAGRON
BESI.AS,2020-12-31,BE SEMICONDUCTOR ORD
BOSN.AS^K22,2021-12-31,ROYAL BOSKALIS ORD
AIRF.PA,2021-12-31,AIR FRANCE-KLM ORD
PTNL.AS,2021-12-31,POSTNL ORD
BFIT.AS,2021-12-31,BASIC FIT NV ORD
SBMO.AS,2021-12-31,SBM OFFSHORE ORD
GLPG.AS,2021-12-31,GALAPAGOS ORD
INPST.AS,2021-12-31,INPOST ORD SHS WHEN ISSUED
APAM.AS,2021-12-31,APERAM ORD
CORB.AS,2021-12-31,CSM ORD
AMG.AS,2021-12-31,AMG ORD
ARDS.AS,2021-12-31,ARCADIS ORD
JDEP.AS,2021-12-31,JDE PEETS ORD
VOPA.AS,2021-12-31,VOPAK ORD
ABNd.AS,2021-12-31,ABN AMRO BANK ORD
ALFEN.AS,2021-12-31,ALFEN BEHEER ORD
OCI.AS,2021-12-31,OCI
WDPP.BR,2021-12-31,WDP-SICAFI REIT
FLOW.AS,2021-12-31,FLOW TRADERS ORD
FUGR.AS,2021-12-31,FUGRO NV ORD
TWKNc.AS,2021-12-31,TWENTSCHE KABEL ORD
INTER.AS^L22,2021-12-31,INTERTRUST GROUP HOLDING ORD WI
ECMPA.AS,2021-12-31,EUROCOMMERCIAL PROPERTIES REIT
AALB.AS,2021-12-31,AALBERTS ORD
FAGRO.BR,2021-12-31,FAGRON
ASRNL.AS,2021-12-31,ARS NEDERLAND NV WHEN ISSUED
AIRF.PA,2022-12-31,AIR FRANCE-KLM ORD
PTNL.AS,2022-12-31,POSTNL ORD
BFIT.AS,2022-12-31,BASIC FIT NV ORD
SBMO.AS,2022-12-31,SBM OFFSHORE ORD
GLPG.AS,2022-12-31,GALAPAGOS ORD
INPST.AS,2022-12-31,INPOST ORD SHS WHEN ISSUED
TKWY.AS,2022-12-31,JUST EAT TAKEAWAY.COM NV ORD
CTPNV.AS,2022-12-31,CTP NV ORD
APAM.AS,2022-12-31,APERAM ORD
CORB.AS,2022-12-31,CSM ORD
AMG.AS,2022-12-31,AMG ORD
ARDS.AS,2022-12-31,ARCADIS ORD
JDEP.AS,2022-12-31,JDE PEETS ORD
VOPA.AS,2022-12-31,VOPAK ORD
